contract_start_season,treatment_category,n_events,mean_mis_overall,mean_mis_offense,mean_mis_defense
2017-18,new_team,110,-0.036445144715823864,-0.029110167426696455,-0.014755600999048496
2017-18,re_signed_standard,185,0.3169581988771278,0.3205537876214865,-0.004594014421466463
2017-18,re_signed_supermax,4,-1.6650162812630556,-1.152654158461796,-0.5175473377599816
2018-19,new_team,106,-0.3720340646518511,-0.464176952270805,0.08631774721332296
2018-19,re_signed_standard,183,0.1448132516784592,0.17023696015288747,-0.02536782480530827
2019-20,new_team,112,-0.2640950462767213,-0.3347138988994408,0.07648052898918598
2019-20,re_signed_standard,172,0.31776370089116807,0.23512624063563098,0.07669724037048634
2019-20,re_signed_supermax,1,-0.8776781067802739,0.41649158088786464,-1.3733058135534917
2020-21,new_team,112,-0.46061936175369134,-0.43409024466819407,-0.036554386039549636
2020-21,re_signed_standard,170,0.3346819433383223,0.22420543679582025,0.11211195603668399
2020-21,re_signed_supermax,2,-1.2096787302358285,-0.47347225139298277,-0.7801062680627443
2021-22,new_team,109,-0.42013548534195627,-0.510930781537492,0.09891108950165424
2021-22,re_signed_standard,197,0.16340991084975784,0.10862488536309389,0.04694502280322706
2021-22,re_signed_supermax,1,3.5975973072598633,2.3005775626593223,1.2582421554664154
2022-23,new_team,92,-0.22707179857705875,-0.277841154733192,0.052159680937292494
2022-23,re_signed_standard,205,-0.03300739982548685,-0.07116097673084279,0.04273091097178244
2022-23,re_signed_supermax,3,-0.4595576682773517,-0.34113693124229716,-0.1296512441769766
2023-24,new_team,105,-0.581147113608826,-0.5928385031612777,0.011004933281986257
2023-24,re_signed_standard,206,0.392630629448239,0.31246221754891484,0.0826159382372841
2023-24,re_signed_supermax,1,-0.2868225806451612,-0.03266820276497695,-0.13723156682027654
2024-25,new_team,89,-0.2788018697861049,-0.3484275627520768,0.07086492706640714
2024-25,re_signed_standard,212,0.4672113748198001,0.3901072679179219,0.07848934168560834
2024-25,re_signed_supermax,1,-0.1696059988500851,-0.5013144800657265,0.3151159828049612
