event_id,signing_team,season,player_name,treatment_category,contract_type,contract_years,mis_overall,mis_data_quality
ben_simmons_2021_PHI,PHI,2021-22,Ben Simmons,re_signed_standard,roster_continuity,3,-2.862583461736004,complete
deandre_jordan_2021_PHI,PHI,2021-22,DeAndre Jordan,new_team,team_change,3,-3.589201025421918,complete
james_harden_2021_PHI,PHI,2021-22,James Harden,new_team,team_change,3,-4.1955988349955575,complete
isaiah_joe_2021_PHI,PHI,2021-22,Isaiah Joe,re_signed_standard,roster_continuity,3,NA,missing_data
paul_millsap_2021_PHI,PHI,2021-22,Paul Millsap,new_team,team_change,3,NA,missing_data
paul_reed_2021_PHI,PHI,2021-22,Paul Reed,re_signed_standard,roster_continuity,3,NA,missing_data
willie_cauley-stein_2021_PHI,PHI,2021-22,Willie Cauley-Stein,new_team,team_change,3,NA,missing_data
tyrese_maxey_2022_PHI,PHI,2022-23,Tyrese Maxey,re_signed_standard,roster_continuity,3,1.957726009235188,complete
joel_embiid_2022_PHI,PHI,2022-23,Joel Embiid,re_signed_standard,roster_continuity,3,0.6628554785168976,complete
shake_milton_2022_PHI,PHI,2022-23,Shake Milton,re_signed_standard,roster_continuity,3,-0.5190136287498099,complete
james_harden_2022_PHI,PHI,2022-23,James Harden,re_signed_standard,roster_continuity,3,-0.727440765601032,complete
jalen_mcdaniels_2022_PHI,PHI,2022-23,Jalen McDaniels,new_team,team_change,3,-0.8623142327813014,complete
danuel_house_2022_PHI,PHI,2022-23,Danuel House Jr.,new_team,team_change,3,-0.9384960178523336,complete
georges_niang_2022_PHI,PHI,2022-23,Georges Niang,re_signed_standard,roster_continuity,3,-0.9868689240402044,complete
tobias_harris_2022_PHI,PHI,2022-23,Tobias Harris,re_signed_standard,roster_continuity,3,-1.0632312323323232,complete
deanthony_melton_2022_PHI,PHI,2022-23,De'Anthony Melton,new_team,team_change,3,-1.2836633484365565,complete
pj_tucker_2022_PHI,PHI,2022-23,P.J. Tucker,new_team,team_change,3,-1.6901408450704225,complete
montrezl_harrell_2022_PHI,PHI,2022-23,Montrezl Harrell,new_team,team_change,3,-4.7585221980751315,complete
