player_name,season,impact_overall,impact_offense,impact_defense,minutes_played,games_played,age,metric_source
Gary Trent Jr.,2024-25,-1.6,-1.2,-0.4,1893,74,26,bpm_basketball_reference
Georges Niang,2024-25,-2.3,-1.1,-1.2,1697,79,31,bpm_basketball_reference
Giannis Antetokounmpo,2024-25,9.5,6.9,2.5,2289,67,30,bpm_basketball_reference
Goga Bitadze,2024-25,2.5,-0.3,2.8,1430,70,25,bpm_basketball_reference
Gradey Dick,2024-25,-3.2,-1.9,-1.3,1587,54,21,bpm_basketball_reference
Grant Williams,2024-25,-1.6,-2.3,0.7,479,16,26,bpm_basketball_reference
Grayson Allen,2024-25,-0.3,0.7,-1,1544,64,29,bpm_basketball_reference
Guerschon Yabusele,2024-25,-1,0.1,-1.1,1895,70,29,bpm_basketball_reference
Gui Santos,2024-25,-1.7,-2.2,0.5,762,56,22,bpm_basketball_reference
Harrison Barnes,2024-25,0,1.7,-1.7,2230,82,32,bpm_basketball_reference
Harrison Ingram,2024-25,-1.2,-3.6,2.4,35,5,22,bpm_basketball_reference
Haywood Highsmith,2024-25,-1.9,-2.7,0.9,1818,74,28,bpm_basketball_reference
Herbert Jones,2024-25,-3.6,-3.9,0.2,648,20,26,bpm_basketball_reference
Hunter Tyson,2024-25,-4.8,-3.3,-1.5,400,51,24,bpm_basketball_reference
Immanuel Quickley,2024-25,2.2,3.2,-1,918,33,25,bpm_basketball_reference
Isaac Jones,2024-25,-1.7,-0.9,-0.8,304,40,24,bpm_basketball_reference
Isaac Okoro,2024-25,-0.5,-1.1,0.6,1053,55,24,bpm_basketball_reference
Isaiah Collier,2024-25,-5.3,-3.8,-1.5,1839,71,20,bpm_basketball_reference
Isaiah Crawford,2024-25,-4.1,-3.4,-0.7,46,15,23,bpm_basketball_reference
Isaiah Hartenstein,2024-25,3.2,0.6,2.6,1590,57,26,bpm_basketball_reference
Isaiah Jackson,2024-25,0.8,-1,1.8,84,5,23,bpm_basketball_reference
Isaiah Joe,2024-25,1.3,1.4,-0.1,1604,74,25,bpm_basketball_reference
Isaiah Mobley,2024-25,4.7,0,4.8,17,1,25,bpm_basketball_reference
Isaiah Stevens,2024-25,-11.8,-19.5,7.7,6,3,24,bpm_basketball_reference
Isaiah Stewart,2024-25,0.6,-1.6,2.1,1434,72,23,bpm_basketball_reference
Isaiah Wong,2024-25,-4,-2.9,-1,265,20,24,bpm_basketball_reference
Ivica Zubac,2024-25,3.1,2.3,0.8,2624,80,27,bpm_basketball_reference
JD Davison,2024-25,-6.2,-5.9,-0.3,93,16,22,bpm_basketball_reference
JT Thor,2024-25,-5.4,-4.3,-1.1,249,20,22,bpm_basketball_reference
Ja Morant,2024-25,2.4,3.1,-0.7,1519,50,25,bpm_basketball_reference
Ja'Kobe Walter,2024-25,-3,-2.3,-0.6,1103,52,20,bpm_basketball_reference
Jabari Smith Jr.,2024-25,-0.7,-0.8,0.1,1716,57,21,bpm_basketball_reference
Jabari Walker,2024-25,-0.8,-1.2,0.5,749,60,22,bpm_basketball_reference
Jack McVeigh,2024-25,-7.7,-4.8,-3,43,9,28,bpm_basketball_reference
Jackson Rowe,2024-25,1,-0.5,1.5,52,6,28,bpm_basketball_reference
Jacob Toppin,2024-25,-2.6,-1.8,-0.8,76,17,24,bpm_basketball_reference
Jaden Hardy,2024-25,-4.7,-2.8,-1.9,907,57,22,bpm_basketball_reference
Jaden Ivey,2024-25,0,0.8,-0.8,898,30,22,bpm_basketball_reference
Jaden McDaniels,2024-25,0,-1.4,1.4,2614,82,24,bpm_basketball_reference
Jaden Springer,2024-25,-2.7,-4.3,1.6,365,43,22,bpm_basketball_reference
Jae Crowder,2024-25,-4.3,-3.8,-0.5,103,9,34,bpm_basketball_reference
Jae'Sean Tate,2024-25,-0.7,-2.1,1.4,588,52,29,bpm_basketball_reference
Jahlil Okafor,2024-25,7.5,2.5,4.9,3,1,29,bpm_basketball_reference
Jahmir Young,2024-25,0.5,1.2,-0.8,30,6,24,bpm_basketball_reference
Jaime Jaquez Jr.,2024-25,-0.9,-1.4,0.5,1368,66,23,bpm_basketball_reference
Jake LaRavia,2024-25,0.2,-0.8,1.1,1349,66,23,bpm_basketball_reference
Jakob Poeltl,2024-25,2,0.7,1.3,1686,57,29,bpm_basketball_reference
Jalen Bridges,2024-25,-12.5,-7.8,-4.7,30,8,23,bpm_basketball_reference
Jalen Brunson,2024-25,3.3,4.7,-1.3,2301,65,28,bpm_basketball_reference
Jalen Duren,2024-25,3.1,1.6,1.5,2034,78,21,bpm_basketball_reference
Jalen Green,2024-25,0.5,1.1,-0.5,2697,82,22,bpm_basketball_reference
Jalen Hood-Schifino,2024-25,-6.9,-4.4,-2.5,315,15,21,bpm_basketball_reference
Jalen Johnson,2024-25,1.8,0.5,1.4,1284,36,23,bpm_basketball_reference
Jalen McDaniels,2024-25,5.6,-0.5,6,7,4,27,bpm_basketball_reference
Jalen Pickett,2024-25,-1.5,-0.8,-0.7,666,49,25,bpm_basketball_reference
Jalen Smith,2024-25,0.9,1.5,-0.6,962,64,24,bpm_basketball_reference
Jalen Suggs,2024-25,0.4,-0.8,1.3,1002,35,23,bpm_basketball_reference
Jalen Williams,2024-25,4,2.7,1.4,2237,69,23,bpm_basketball_reference
Jalen Wilson,2024-25,-3.9,-2.6,-1.3,2031,79,24,bpm_basketball_reference
Jamal Cain,2024-25,-3.4,-2.5,-0.8,502,37,25,bpm_basketball_reference
Jamal Murray,2024-25,0.8,1.8,-1,2418,67,27,bpm_basketball_reference
Jamal Shead,2024-25,-4.1,-3.2,-0.9,1467,75,22,bpm_basketball_reference
