player_name,season,impact_overall,impact_offense,impact_defense,minutes_played,games_played,age,metric_source
Aaron Brooks,2015-16,-2.6,-1.3,-1.3,1108,69,31,bpm_basketball_reference
Aaron Gordon,2015-16,1,0.9,0.1,1863,78,20,bpm_basketball_reference
Aaron Harrison,2015-16,-6.3,-7.2,0.9,93,21,21,bpm_basketball_reference
Adreian Payne,2015-16,-6.2,-6.1,-0.2,486,52,24,bpm_basketball_reference
Al Horford,2015-16,3.8,2.2,1.6,2631,82,29,bpm_basketball_reference
Al Jefferson,2015-16,-0.5,-0.9,0.4,1096,47,31,bpm_basketball_reference
Al-Farouq Aminu,2015-16,0.1,-0.2,0.2,2341,82,25,bpm_basketball_reference
Alan Anderson,2015-16,-2.3,-2.4,0.1,192,13,33,bpm_basketball_reference
Alan Williams,2015-16,-0.2,-2,1.8,68,10,23,bpm_basketball_reference
Alec Burks,2015-16,-0.4,0.2,-0.6,797,31,24,bpm_basketball_reference
Alex Len,2015-16,-4.3,-3.5,-0.8,1821,78,22,bpm_basketball_reference
Alex Stepheson,2015-16,-2.4,-0.5,-2,73,8,28,bpm_basketball_reference
Alexis Ajinça,2015-16,-4,-3.4,-0.6,861,59,27,bpm_basketball_reference
Allen Crabbe,2015-16,-1,-0.9,-0.1,2105,81,23,bpm_basketball_reference
Alonzo Gee,2015-16,-2.6,-3.2,0.6,1632,73,28,bpm_basketball_reference
Amar'e Stoudemire,2015-16,-0.6,-1.3,0.6,762,52,33,bpm_basketball_reference
Amir Johnson,2015-16,1.2,-0.4,1.6,1800,79,28,bpm_basketball_reference
Anderson Varejão,2015-16,-2.9,-3.5,0.6,496,53,33,bpm_basketball_reference
Andre Drummond,2015-16,1.1,0.8,0.3,2666,81,22,bpm_basketball_reference
Andre Iguodala,2015-16,1.1,-0.2,1.3,1732,65,32,bpm_basketball_reference
Andre Miller,2015-16,-1.9,-1.4,-0.5,461,39,39,bpm_basketball_reference
Andre Roberson,2015-16,0.5,-0.7,1.3,1553,70,24,bpm_basketball_reference
Andrea Bargnani,2015-16,-5.1,-2.6,-2.6,634,46,30,bpm_basketball_reference
Andrew Bogut,2015-16,2.4,-0.9,3.2,1451,70,31,bpm_basketball_reference
Andrew Goudelock,2015-16,-3.6,-5.4,1.8,50,8,27,bpm_basketball_reference
Andrew Nicholson,2015-16,-1.1,0,-1.1,823,56,26,bpm_basketball_reference
Andrew Wiggins,2015-16,-1.3,0.9,-2.2,2845,81,20,bpm_basketball_reference
Anthony Bennett,2015-16,-3.9,-2.9,-1.1,84,19,22,bpm_basketball_reference
Anthony Brown,2015-16,-5.5,-4.5,-1,599,29,23,bpm_basketball_reference
Anthony Davis,2015-16,3.9,3.6,0.4,2164,61,22,bpm_basketball_reference
Anthony Morrow,2015-16,-1.1,-0.1,-1,926,68,30,bpm_basketball_reference
Anthony Tolliver,2015-16,0.4,-0.1,0.5,1341,72,30,bpm_basketball_reference
Archie Goodwin,2015-16,-3.7,-2.1,-1.5,1114,57,21,bpm_basketball_reference
Aron Baynes,2015-16,-0.2,-0.5,0.3,1233,81,29,bpm_basketball_reference
Arron Afflalo,2015-16,-2.9,-1.3,-1.6,2371,71,30,bpm_basketball_reference
Austin Rivers,2015-16,-2.7,-2.2,-0.5,1464,67,23,bpm_basketball_reference
Avery Bradley,2015-16,-0.1,-0.4,0.3,2536,76,25,bpm_basketball_reference
Axel Toupane,2015-16,-4.7,-3.6,-1,305,21,23,bpm_basketball_reference
Ben McLemore,2015-16,-3.8,-3.1,-0.7,1443,68,22,bpm_basketball_reference
Beno Udrih,2015-16,-3.6,-2.7,-1,707,44,33,bpm_basketball_reference
Bismack Biyombo,2015-16,-0.2,-1.3,1.1,1808,82,23,bpm_basketball_reference
Blake Griffin,2015-16,4.5,3.4,1.1,1170,35,26,bpm_basketball_reference
Boban Marjanović,2015-16,4.3,3.9,0.4,508,54,27,bpm_basketball_reference
Bobby Portis,2015-16,-3.3,-1.5,-1.8,1102,62,20,bpm_basketball_reference
Bojan Bogdanović,2015-16,-3.5,-1,-2.6,2115,79,26,bpm_basketball_reference
Boris Diaw,2015-16,0.8,-0.1,0.9,1386,76,33,bpm_basketball_reference
Bradley Beal,2015-16,0.3,1.2,-0.9,1708,55,22,bpm_basketball_reference
Brandan Wright,2015-16,0.7,0,0.7,212,12,28,bpm_basketball_reference
Branden Dawson,2015-16,-5.7,-3.6,-2,29,6,22,bpm_basketball_reference
Brandon Bass,2015-16,0.6,0.6,0,1342,66,30,bpm_basketball_reference
Brandon Jennings,2015-16,-0.4,0.2,-0.7,868,48,26,bpm_basketball_reference
Brandon Knight,2015-16,-0.6,0.9,-1.5,1870,52,24,bpm_basketball_reference
Brandon Rush,2015-16,-0.8,-0.6,-0.2,1055,72,30,bpm_basketball_reference
Brian Roberts,2015-16,-1.6,-0.9,-0.7,470,51,30,bpm_basketball_reference
Briante Weber,2015-16,-3.7,-4.7,1,169,7,23,bpm_basketball_reference
Brook Lopez,2015-16,1.3,1.9,-0.5,2457,73,27,bpm_basketball_reference
Bruno Caboclo,2015-16,-17.6,-14,-3.6,43,6,20,bpm_basketball_reference
Bryce Cotton,2015-16,-8.8,-7.7,-1,39,8,23,bpm_basketball_reference
Bryce Dejean-Jones,2015-16,-2.5,-2.5,0,279,14,23,bpm_basketball_reference
C.J. Miles,2015-16,0.5,0.6,-0.1,1464,64,28,bpm_basketball_reference
C.J. Watson,2015-16,-3,-3,-0.1,656,33,31,bpm_basketball_reference
C.J. Wilcox,2015-16,-1.5,-2.6,1.1,167,23,25,bpm_basketball_reference
CJ McCollum,2015-16,1.3,2.3,-1,2780,80,24,bpm_basketball_reference
Cameron Bairstow,2015-16,-7.5,-6.7,-0.9,103,18,25,bpm_basketball_reference
Cameron Payne,2015-16,-0.7,-1.3,0.6,698,57,21,bpm_basketball_reference
Carl Landry,2015-16,1.2,2.6,-1.4,569,36,32,bpm_basketball_reference
Carmelo Anthony,2015-16,3.3,3.8,-0.5,2530,72,31,bpm_basketball_reference
Caron Butler,2015-16,-1.8,-2.5,0.6,176,17,35,bpm_basketball_reference
Chandler Parsons,2015-16,2,1.8,0.2,1799,61,27,bpm_basketball_reference
Channing Frye,2015-16,0.8,0.3,0.5,1200,70,32,bpm_basketball_reference
Charlie Villanueva,2015-16,-2.7,-1.9,-0.8,665,62,31,bpm_basketball_reference
Chase Budinger,2015-16,-1.3,-1.8,0.5,929,66,27,bpm_basketball_reference
Chris Andersen,2015-16,0.7,0.7,0,402,27,37,bpm_basketball_reference
Chris Bosh,2015-16,4,3.6,0.5,1778,53,31,bpm_basketball_reference
Chris Copeland,2015-16,-6.4,-3.3,-3.1,156,24,31,bpm_basketball_reference
Chris Johnson,2015-16,-2,-3.3,1.3,857,70,25,bpm_basketball_reference
Chris Kaman,2015-16,-3.6,-2.6,-1,112,16,33,bpm_basketball_reference
Chris McCullough,2015-16,-2.4,-2.7,0.4,362,24,20,bpm_basketball_reference
Chris Paul,2015-16,7.9,5.9,2,2420,74,30,bpm_basketball_reference
Christian Wood,2015-16,-0.2,0.4,-0.6,145,17,20,bpm_basketball_reference
Chuck Hayes,2015-16,-8.1,-8.6,0.4,24,2,32,bpm_basketball_reference
Cleanthony Early,2015-16,-8.6,-7.2,-1.5,154,17,24,bpm_basketball_reference
Cliff Alexander,2015-16,0,-0.5,0.5,36,8,20,bpm_basketball_reference
Clint Capela,2015-16,-0.4,-0.3,-0.1,1471,77,21,bpm_basketball_reference
Cody Zeller,2015-16,-0.1,-1.1,1,1774,73,23,bpm_basketball_reference
Cole Aldrich,2015-16,2.4,-0.9,3.4,800,60,27,bpm_basketball_reference
Corey Brewer,2015-16,-2.9,-2.7,-0.3,1669,82,29,bpm_basketball_reference
Cory Jefferson,2015-16,-6.4,-2.7,-3.7,50,8,25,bpm_basketball_reference
Cory Joseph,2015-16,-1.2,-1.1,-0.1,2046,80,24,bpm_basketball_reference
Coty Clarke,2015-16,16.5,15.5,1,6,3,23,bpm_basketball_reference
Courtney Lee,2015-16,-1,-1.3,0.3,2334,79,30,bpm_basketball_reference
Cristiano Felício,2015-16,0.3,0.1,0.2,321,31,23,bpm_basketball_reference
D'Angelo Russell,2015-16,-2.3,-0.7,-1.6,2259,80,19,bpm_basketball_reference
D.J. Augustin,2015-16,-0.4,0.6,-1.1,1178,62,28,bpm_basketball_reference
Dahntay Jones,2015-16,-3,-2.7,-0.3,42,1,35,bpm_basketball_reference
Damian Lillard,2015-16,4.4,5.7,-1.3,2676,75,25,bpm_basketball_reference
Damien Inglis,2015-16,-5.6,-4.9,-0.6,156,20,20,bpm_basketball_reference
Damjan Rudež,2015-16,-4.8,-2.7,-2.1,277,33,29,bpm_basketball_reference
Danilo Gallinari,2015-16,2.7,3.4,-0.7,1839,53,27,bpm_basketball_reference
Danny Green,2015-16,1.1,-1,2.1,2062,79,28,bpm_basketball_reference
Dante Cunningham,2015-16,-2.8,-2.3,-0.5,1971,80,28,bpm_basketball_reference
Darrell Arthur,2015-16,-0.8,-1.3,0.5,1516,70,27,bpm_basketball_reference
Darren Collison,2015-16,0.1,0.9,-0.8,2219,74,28,bpm_basketball_reference
Darrun Hilliard,2015-16,-2.5,-1.9,-0.5,383,38,22,bpm_basketball_reference
David Lee,2015-16,1.3,0.7,0.6,903,55,32,bpm_basketball_reference
David West,2015-16,2.9,0.3,2.6,1404,78,35,bpm_basketball_reference
DeAndre Jordan,2015-16,2.8,1.5,1.3,2598,77,27,bpm_basketball_reference
DeJuan Blair,2015-16,-8.9,-8.1,-0.7,218,29,26,bpm_basketball_reference
DeMar DeRozan,2015-16,2.5,3.2,-0.7,2804,78,26,bpm_basketball_reference
DeMarcus Cousins,2015-16,3.3,2.7,0.6,2246,65,25,bpm_basketball_reference
DeMarre Carroll,2015-16,0.3,-0.8,1.1,786,26,29,bpm_basketball_reference
Delon Wright,2015-16,0.9,1.1,-0.3,229,27,23,bpm_basketball_reference
Dennis Schröder,2015-16,-0.8,-0.3,-0.4,1621,80,22,bpm_basketball_reference
Deron Williams,2015-16,-0.3,0.4,-0.7,2106,65,31,bpm_basketball_reference
Derrick Favors,2015-16,3.3,2.1,1.2,1983,62,24,bpm_basketball_reference
Derrick Rose,2015-16,-2.5,-0.6,-1.9,2097,66,27,bpm_basketball_reference
Derrick Williams,2015-16,0.3,1.5,-1.2,1435,80,24,bpm_basketball_reference
Devin Booker,2015-16,-2.8,-1.2,-1.7,2108,76,19,bpm_basketball_reference
Devin Harris,2015-16,0.1,-1.4,1.5,1280,64,32,bpm_basketball_reference
Devyn Marble,2015-16,-6.2,-6,-0.1,249,28,23,bpm_basketball_reference
Dewayne Dedmon,2015-16,-0.9,-1.6,0.7,705,58,26,bpm_basketball_reference
Dion Waiters,2015-16,-2.8,-2.4,-0.4,2152,78,24,bpm_basketball_reference
Dirk Nowitzki,2015-16,2.5,2.4,0.1,2364,75,37,bpm_basketball_reference
Donald Sloan,2015-16,-1.7,-0.3,-1.4,1318,61,28,bpm_basketball_reference
Donatas Motiejūnas,2015-16,-4.5,-2.8,-1.7,547,37,25,bpm_basketball_reference
Doug McDermott,2015-16,-2.9,-1,-1.9,1861,81,24,bpm_basketball_reference
Draymond Green,2015-16,5.5,2.6,2.9,2808,81,25,bpm_basketball_reference
Drew Gooden,2015-16,-6.3,-5,-1.3,305,30,34,bpm_basketball_reference
Duje Dukan,2015-16,-7,-4.3,-2.6,24,1,24,bpm_basketball_reference
Dwight Howard,2015-16,0.1,0.3,-0.2,2280,71,30,bpm_basketball_reference
Dwight Powell,2015-16,0.1,-0.6,0.7,992,69,24,bpm_basketball_reference
Dwyane Wade,2015-16,1.9,2.3,-0.4,2258,74,34,bpm_basketball_reference
E'Twaun Moore,2015-16,-1.9,-1.9,0,1263,59,26,bpm_basketball_reference
Ed Davis,2015-16,1.9,1,0.9,1684,81,26,bpm_basketball_reference
Edy Tavares,2015-16,-1.8,-2.9,1.1,73,11,23,bpm_basketball_reference
Elfrid Payton,2015-16,-1.2,-0.7,-0.6,2145,73,21,bpm_basketball_reference
Elijah Millsap,2015-16,-3.8,-5.9,2.1,173,20,28,bpm_basketball_reference
Elliot Williams,2015-16,-7.9,-5.3,-2.6,45,5,26,bpm_basketball_reference
Elton Brand,2015-16,-3.4,-4.7,1.3,225,17,36,bpm_basketball_reference
Emmanuel Mudiay,2015-16,-4.2,-2.3,-1.9,2068,68,19,bpm_basketball_reference
Enes Freedom,2015-16,1.2,3.3,-2.1,1721,82,23,bpm_basketball_reference
Eric Bledsoe,2015-16,3.3,2.5,0.8,1059,31,26,bpm_basketball_reference
Eric Gordon,2015-16,-0.1,0.9,-1,1481,45,27,bpm_basketball_reference
Eric Moreland,2015-16,-4.5,-4.4,-0.1,48,8,24,bpm_basketball_reference
Erick Green,2015-16,-1.9,-1.6,-0.4,42,9,24,bpm_basketball_reference
Ersan İlyasova,2015-16,-0.2,0.2,-0.4,1881,74,28,bpm_basketball_reference
Evan Fournier,2015-16,-0.3,0.1,-0.5,2566,79,23,bpm_basketball_reference
Evan Turner,2015-16,0,-0.9,0.9,2271,81,27,bpm_basketball_reference
Festus Ezeli,2015-16,-0.1,-0.6,0.4,770,46,26,bpm_basketball_reference
Frank Kaminsky,2015-16,-0.8,-1,0.2,1708,81,22,bpm_basketball_reference
Garrett Temple,2015-16,-2.1,-2.5,0.4,1951,80,29,bpm_basketball_reference
Gary Harris,2015-16,-0.9,-0.6,-0.2,2439,76,21,bpm_basketball_reference
Gary Neal,2015-16,-1.5,-0.1,-1.3,807,40,31,bpm_basketball_reference
George Hill,2015-16,0.7,0.1,0.7,2524,74,29,bpm_basketball_reference
Gerald Green,2015-16,-3.1,-2.1,-0.9,1557,69,30,bpm_basketball_reference
Gerald Henderson,2015-16,-1.8,-1.1,-0.7,1431,72,28,bpm_basketball_reference
Giannis Antetokounmpo,2015-16,2.1,1.3,0.7,2823,80,21,bpm_basketball_reference
Glenn Robinson III,2015-16,-1.1,-1.6,0.5,508,45,22,bpm_basketball_reference
Goran Dragić,2015-16,-0.4,0.1,-0.5,2363,72,29,bpm_basketball_reference
Gordon Hayward,2015-16,2.6,2.4,0.2,2893,80,25,bpm_basketball_reference
Gorgui Dieng,2015-16,0.8,-0.1,0.8,2220,82,26,bpm_basketball_reference
Greg Monroe,2015-16,2.1,2.7,-0.6,2314,79,25,bpm_basketball_reference
Greg Smith,2015-16,-5.5,-4.1,-1.4,192,18,25,bpm_basketball_reference
Greivis Vásquez,2015-16,-6.2,-3.4,-2.9,460,23,29,bpm_basketball_reference
Harrison Barnes,2015-16,-1.3,-0.2,-1.1,2042,66,23,bpm_basketball_reference
Hassan Whiteside,2015-16,4.1,1.7,2.4,2125,73,26,bpm_basketball_reference
Henry Sims,2015-16,-4.3,-3.5,-0.8,263,14,25,bpm_basketball_reference
Hollis Thompson,2015-16,-3.4,-1.6,-1.7,2154,77,24,bpm_basketball_reference
Ian Clark,2015-16,-1.9,-1.5,-0.4,578,66,24,bpm_basketball_reference
Ian Mahinmi,2015-16,0.9,-0.9,1.9,1816,71,29,bpm_basketball_reference
Iman Shumpert,2015-16,-1.5,-3,1.4,1316,54,25,bpm_basketball_reference
Isaiah Canaan,2015-16,-2.4,-0.8,-1.6,1966,77,24,bpm_basketball_reference
Isaiah Thomas,2015-16,4.3,4.9,-0.6,2644,82,26,bpm_basketball_reference
Ish Smith,2015-16,-1.6,-0.3,-1.3,2239,77,27,bpm_basketball_reference
J.J. Barea,2015-16,0,1.6,-1.6,1667,74,31,bpm_basketball_reference
J.J. Hickson,2015-16,-1.1,-1.1,0,436,35,27,bpm_basketball_reference
J.J. O'Brien,2015-16,-6.2,-11.5,5.3,6,2,23,bpm_basketball_reference
J.R. Smith,2015-16,0.5,0.2,0.3,2362,77,30,bpm_basketball_reference
JJ Redick,2015-16,2.2,3.3,-1.1,2097,75,31,bpm_basketball_reference
JaKarr Sampson,2015-16,-5.4,-4.5,-1,1160,73,22,bpm_basketball_reference
JaMychal Green,2015-16,-2.5,-1.5,-1,1446,78,25,bpm_basketball_reference
JaVale McGee,2015-16,-0.3,-0.2,-0.2,370,34,28,bpm_basketball_reference
Jabari Parker,2015-16,-2,-0.4,-1.6,2408,76,20,bpm_basketball_reference
Jae Crowder,2015-16,2.2,0.8,1.4,2308,73,25,bpm_basketball_reference
Jahlil Okafor,2015-16,-2.3,-0.5,-1.8,1591,53,20,bpm_basketball_reference
Jamal Crawford,2015-16,-1.4,0.1,-1.5,2126,79,35,bpm_basketball_reference
Jameer Nelson,2015-16,-3,-2.2,-0.8,1036,39,33,bpm_basketball_reference
James Anderson,2015-16,-4.5,-3.9,-0.6,721,51,26,bpm_basketball_reference
James Ennis III,2015-16,1.5,2.5,-1,329,22,25,bpm_basketball_reference
James Harden,2015-16,6.6,6.4,0.2,3125,82,26,bpm_basketball_reference
James Johnson,2015-16,-1,-1.5,0.5,926,57,28,bpm_basketball_reference
James Jones,2015-16,-0.3,-0.2,-0.1,463,48,35,bpm_basketball_reference
James Michael McAdoo,2015-16,-1.8,-1.5,-0.3,262,41,23,bpm_basketball_reference
James Young,2015-16,-4.5,-5.3,0.8,199,29,20,bpm_basketball_reference
Jared Cunningham,2015-16,-5.7,-5.5,-0.2,410,44,24,bpm_basketball_reference
Jared Dudley,2015-16,-0.1,-0.8,0.7,2098,81,30,bpm_basketball_reference
Jared Sullinger,2015-16,0.6,0,0.7,1915,81,23,bpm_basketball_reference
Jarell Eddie,2015-16,-1.5,-0.3,-1.1,147,26,24,bpm_basketball_reference
Jarell Martin,2015-16,-3.7,-2,-1.8,380,27,21,bpm_basketball_reference
Jarnell Stokes,2015-16,2,1.9,0.1,18,7,22,bpm_basketball_reference
Jarrett Jack,2015-16,-0.7,0,-0.7,1027,32,32,bpm_basketball_reference
Jason Smith,2015-16,-2.2,-2.5,0.3,1181,76,29,bpm_basketball_reference
Jason Terry,2015-16,-1.6,-0.7,-0.9,1258,72,38,bpm_basketball_reference
Jason Thompson,2015-16,-0.8,-2.1,1.2,471,47,29,bpm_basketball_reference
Jeff Ayres,2015-16,-6.1,-5.6,-0.5,107,17,28,bpm_basketball_reference
Jeff Green,2015-16,-1.8,-0.8,-0.9,2253,80,29,bpm_basketball_reference
Jeff Teague,2015-16,1.3,1.5,-0.2,2255,79,27,bpm_basketball_reference
Jeff Withey,2015-16,1,-1,2,658,51,25,bpm_basketball_reference
Jerami Grant,2015-16,-1.7,-2.1,0.4,2066,77,21,bpm_basketball_reference
Jeremy Evans,2015-16,-0.4,-1.5,1,251,30,28,bpm_basketball_reference
Jeremy Lamb,2015-16,0.8,0.1,0.7,1227,66,23,bpm_basketball_reference
Jeremy Lin,2015-16,-0.9,-1,0,2048,78,27,bpm_basketball_reference
Jerian Grant,2015-16,-3.1,-2.8,-0.3,1265,76,23,bpm_basketball_reference
Jerryd Bayless,2015-16,-0.8,0.2,-1,1505,52,27,bpm_basketball_reference
Jimmer Fredette,2015-16,-2.6,-2.3,-0.3,18,6,26,bpm_basketball_reference
Jimmy Butler,2015-16,4.4,3.2,1.2,2474,67,26,bpm_basketball_reference
Joakim Noah,2015-16,1.6,-1.5,3.1,635,29,30,bpm_basketball_reference
Jodie Meeks,2015-16,-2.9,-0.2,-2.8,43,3,28,bpm_basketball_reference
Joe Harris,2015-16,-5.9,-5,-0.9,15,5,24,bpm_basketball_reference
Joe Ingles,2015-16,0.2,-1.4,1.6,1241,81,28,bpm_basketball_reference
Joe Johnson,2015-16,-1.9,-0.6,-1.3,2703,81,34,bpm_basketball_reference
Joe Young,2015-16,-4.7,-3.9,-0.8,384,41,23,bpm_basketball_reference
Joel Anthony,2015-16,0.4,-2.9,3.3,96,19,33,bpm_basketball_reference
Joffrey Lauvergne,2015-16,-1.6,-0.3,-1.3,1041,59,24,bpm_basketball_reference
John Henson,2015-16,0.2,-1.2,1.3,960,57,25,bpm_basketball_reference
John Jenkins,2015-16,-2.9,-1.9,-1,480,43,24,bpm_basketball_reference
John Wall,2015-16,3.5,3.1,0.4,2784,77,25,bpm_basketball_reference
Johnny O'Bryant,2015-16,-5.9,-4.2,-1.7,857,66,22,bpm_basketball_reference
Jon Leuer,2015-16,0,0.1,0,1255,67,26,bpm_basketball_reference
Jonas Jerebko,2015-16,-2,-2,0,1176,78,28,bpm_basketball_reference
Jonas Valančiūnas,2015-16,1.7,2.1,-0.5,1557,60,23,bpm_basketball_reference
Jonathon Simmons,2015-16,-2.7,-3.1,0.4,813,55,26,bpm_basketball_reference
Jordan Adams,2015-16,6.9,-2.5,9.4,15,2,21,bpm_basketball_reference
Jordan Clarkson,2015-16,-1.6,-0.1,-1.5,2552,79,23,bpm_basketball_reference
Jordan Farmar,2015-16,-0.7,-0.5,-0.2,291,12,29,bpm_basketball_reference
Jordan Hamilton,2015-16,-3.3,-1.6,-1.7,304,11,25,bpm_basketball_reference
Jordan Hill,2015-16,-0.7,-0.7,0,1513,73,28,bpm_basketball_reference
Jordan McRae,2015-16,-1.8,0,-1.9,195,22,24,bpm_basketball_reference
Jordan Mickey,2015-16,-1.5,-2.6,1.1,57,16,21,bpm_basketball_reference
Jorge Gutiérrez,2015-16,0.6,-0.3,0.8,63,12,27,bpm_basketball_reference
Josh Huestis,2015-16,-2.8,-2.2,-0.6,55,5,24,bpm_basketball_reference
Josh McRoberts,2015-16,-1.6,-2.6,1,595,42,28,bpm_basketball_reference
Josh Richardson,2015-16,-0.4,-1.1,0.7,1107,52,22,bpm_basketball_reference
Josh Smith,2015-16,-3.1,-3.5,0.4,880,55,30,bpm_basketball_reference
José Calderón,2015-16,-0.6,-0.8,0.1,2024,72,34,bpm_basketball_reference
Jrue Holiday,2015-16,2.1,2.7,-0.6,1831,65,25,bpm_basketball_reference
Julius Randle,2015-16,-3.2,-1.9,-1.3,2286,81,21,bpm_basketball_reference
Justin Anderson,2015-16,0.3,-1.1,1.4,647,55,22,bpm_basketball_reference
Justin Harper,2015-16,-4.2,-2.3,-1.9,35,5,26,bpm_basketball_reference
Justin Holiday,2015-16,-3.1,-3.3,0.1,773,53,26,bpm_basketball_reference
Justise Winslow,2015-16,-2.6,-3.3,0.7,2232,78,19,bpm_basketball_reference
Jusuf Nurkić,2015-16,-2.9,-3.6,0.7,547,32,21,bpm_basketball_reference
K.J. McDaniels,2015-16,-3.9,-2.8,-1.1,235,37,22,bpm_basketball_reference
Karl-Anthony Towns,2015-16,2.2,2.5,-0.4,2627,82,20,bpm_basketball_reference
Kawhi Leonard,2015-16,9.1,6.1,3,2380,72,24,bpm_basketball_reference
Keith Appling,2015-16,-15.1,-13.2,-2,27,5,23,bpm_basketball_reference
Kelly Olynyk,2015-16,1.9,1.2,0.8,1395,69,24,bpm_basketball_reference
Kelly Oubre Jr.,2015-16,-5.1,-4.6,-0.5,671,63,20,bpm_basketball_reference
Kemba Walker,2015-16,4,3.5,0.5,2885,81,25,bpm_basketball_reference
Kendall Marshall,2015-16,-7.3,-4.7,-2.6,400,30,24,bpm_basketball_reference
Kendrick Perkins,2015-16,-5,-5.2,0.2,542,37,31,bpm_basketball_reference
Kenneth Faried,2015-16,0.3,1.7,-1.4,1694,67,26,bpm_basketball_reference
Kent Bazemore,2015-16,0.3,-1.2,1.5,2083,75,26,bpm_basketball_reference
Kentavious Caldwell-Pope,2015-16,-0.3,-1.1,0.8,2789,76,22,bpm_basketball_reference
Kevin Durant,2015-16,9.9,8.4,1.6,2578,72,27,bpm_basketball_reference
Kevin Garnett,2015-16,1.5,-1.6,3.1,556,38,39,bpm_basketball_reference
Kevin Love,2015-16,3.3,3,0.3,2424,77,27,bpm_basketball_reference
Kevin Martin,2015-16,-3.2,-1.6,-1.6,1095,55,32,bpm_basketball_reference
Kevin Séraphin,2015-16,-3.8,-4.4,0.6,526,48,26,bpm_basketball_reference
Kevon Looney,2015-16,-2.5,1.6,-4.1,21,5,19,bpm_basketball_reference
Khris Middleton,2015-16,0.6,1.2,-0.5,2852,79,24,bpm_basketball_reference
Kirk Hinrich,2015-16,-3.5,-3.9,0.5,631,46,35,bpm_basketball_reference
Klay Thompson,2015-16,1.8,3.4,-1.6,2666,80,25,bpm_basketball_reference
Kobe Bryant,2015-16,-1.6,0.9,-2.4,1863,66,37,bpm_basketball_reference
Kosta Koufos,2015-16,-2,-1.3,-0.6,1482,78,26,bpm_basketball_reference
Kostas Papanikolaou,2015-16,-4.5,-4.7,0.2,294,26,25,bpm_basketball_reference
Kris Humphries,2015-16,-2,-1.6,-0.4,835,53,30,bpm_basketball_reference
Kristaps Porziņģis,2015-16,0.9,0.6,0.3,2047,72,20,bpm_basketball_reference
Kyle Anderson,2015-16,1.4,-1.7,3.1,1245,78,22,bpm_basketball_reference
Kyle Korver,2015-16,-1,-1.5,0.6,2401,80,34,bpm_basketball_reference
Kyle Lowry,2015-16,5.8,4.7,1.1,2851,77,29,bpm_basketball_reference
Kyle O'Quinn,2015-16,0.4,-1,1.4,764,65,25,bpm_basketball_reference
Kyle Singler,2015-16,-3.2,-3.1,-0.1,977,68,27,bpm_basketball_reference
Kyrie Irving,2015-16,2.3,3.2,-0.8,1667,53,23,bpm_basketball_reference
LaMarcus Aldridge,2015-16,2.3,2,0.3,2261,74,30,bpm_basketball_reference
Lamar Patterson,2015-16,-5.1,-5.4,0.3,395,35,24,bpm_basketball_reference
Lance Stephenson,2015-16,-1.2,-0.9,-0.3,1372,69,25,bpm_basketball_reference
Lance Thomas,2015-16,-3.2,-1.7,-1.5,1313,59,27,bpm_basketball_reference
Langston Galloway,2015-16,-1,-1.7,0.7,2033,82,24,bpm_basketball_reference
Larry Nance Jr.,2015-16,-1.5,-1.7,0.2,1266,63,23,bpm_basketball_reference
Lavoy Allen,2015-16,-1.6,-1.7,0.1,1599,79,26,bpm_basketball_reference
LeBron James,2015-16,9,7,2,2709,76,31,bpm_basketball_reference
Leandro Barbosa,2015-16,-2,-1.9,-0.1,1079,68,33,bpm_basketball_reference
Lorenzo Brown,2015-16,-8.4,-6.5,-1.9,61,8,25,bpm_basketball_reference
Lou Amundson,2015-16,-6.9,-6.7,-0.2,204,29,33,bpm_basketball_reference
Lou Williams,2015-16,1.3,2.4,-1.1,1907,67,29,bpm_basketball_reference
Luc Mbah a Moute,2015-16,-2.6,-3.2,0.6,1274,75,29,bpm_basketball_reference
Lucas Nogueira,2015-16,0,-1.7,1.7,225,29,23,bpm_basketball_reference
Luis Montero,2015-16,-15.5,-9.8,-5.6,42,12,22,bpm_basketball_reference
Luis Scola,2015-16,-1.1,-0.8,-0.3,1636,76,35,bpm_basketball_reference
Luke Babbitt,2015-16,-2.5,-1,-1.5,845,47,26,bpm_basketball_reference
Luol Deng,2015-16,0.8,0.7,0.2,2394,74,30,bpm_basketball_reference
Manu Ginóbili,2015-16,3.6,1.4,2.2,1134,58,38,bpm_basketball_reference
Marc Gasol,2015-16,1.7,0.8,0.9,1791,52,31,bpm_basketball_reference
Marcelo Huertas,2015-16,-5,-2.7,-2.2,869,53,32,bpm_basketball_reference
Marcin Gortat,2015-16,0.6,0.5,0.1,2256,75,31,bpm_basketball_reference
Marco Belinelli,2015-16,-3.8,-2.1,-1.7,1672,68,29,bpm_basketball_reference
Marcus Morris,2015-16,-0.2,-0.3,0.1,2856,80,26,bpm_basketball_reference
Marcus Smart,2015-16,-1,-2.2,1.2,1667,61,21,bpm_basketball_reference
Marcus Thornton,2015-16,-0.5,0.9,-1.4,1109,61,28,bpm_basketball_reference
Mario Chalmers,2015-16,1.3,0,1.3,1373,61,29,bpm_basketball_reference
Mario Hezonja,2015-16,-3.1,-2.4,-0.7,1413,79,20,bpm_basketball_reference
Markel Brown,2015-16,-3,-2.1,-0.8,982,62,24,bpm_basketball_reference
Markieff Morris,2015-16,-2.4,-2.3,-0.1,1629,64,26,bpm_basketball_reference
