pre_impact_quartile,pre_impact_quartile_label,n,mean_pre_impact_overall,mean_post_impact_overall,mean_mis_overall,median_mis_overall,pct_negative
1,Q1,597,-2.982330325605175,-1.9130448312393666,1.069285494365808,1.1,0.23618090452261306
2,Q2,595,-1.0460441094434039,-0.957193545230786,0.08885056421261782,-0.04689573402487168,0.5159663865546219
3,Q3,594,0.3832624050575014,0.21637454241190396,-0.16688786264559746,-0.19875318924794566,0.5538720538720538
4,Q4,592,3.3430048713730325,2.5399994960153585,-0.8030053753576737,-0.94996864307699,0.7077702702702703
